"Source descriptor","Target descriptor","Source_state","Target_state","Score_agreed","Conf_agreed","Panel_reasoning"
"Decarbonisation_Outcome","Policy_Stringency","High emissions","Low","-2","4","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Policy_Stringency","High emissions","Medium","1","4","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Policy_Stringency","High emissions","High","2","4","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Policy_Stringency","Medium","Low","-1","3","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Policy_Stringency","Medium","Medium","2","4","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Policy_Stringency","Medium","High","1","3","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Policy_Stringency","Net-zero aligned","Low","1","2","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Policy_Stringency","Net-zero aligned","Medium","1","3","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Policy_Stringency","Net-zero aligned","High","1","4","Outcome-to-policy feedback: high emissions hinder Low and support Medium/High; medium outcome supports Medium and somewhat High and hinders Low; net-zero aligned slightly supports all policy levels (including possible relaxation to Low with low confidence) and supports High; confidences reflect stronger evidence for failure→tightening than for success→relaxation."
"Decarbonisation_Outcome","Permitting_Pace","High emissions","Slow","-2","4","Outcome-to-permitting feedback: high emissions creates pressure for reform (supports Fast, hinders Slow); medium outcome weakly supports Medium/Fast; net-zero aligned allows complacency (supports Slow) or momentum (supports Fast); confidences moderate where direction contested."
